12.24	0.00	7.8	0
14.07	0.00	9.5	0
16.13	0.00	11.5	0
19.31	0.00	13.5	0
22.34	0.00	10.9	0
25.27	0.00	11.3	0
25.89	0.00	7.1	0
28.29	0.00	7.9	0
30.23	0.20	6.7	0.4
32.25	0.00	6.1	0
33.73	0.00	4.3	0
36.01	0.14	7.5	0.3
37.79	0.00	8.9	0
39.67	0.00	9.7	0
41.71	0.00	9.1	0
43.48	0.00	7.8	0
44.83	0.00	8.3	0
46.35	0.00	5.7	0
47.63	0.00	6.1	0
49.24	0.00	8.5	0
50.59	0.00	10	0
53.53	0.00	10.3	0
55.1	0.00	11.7	0
56.69	0.00	13	0
52.86	1.90	11.3	5.2
53.99	0.36	12.3	1
56.91	0.11	10.1	0.3
59.46	0.03	10.3	0.1
61.27	0.03	12.5	0.1
63.57	0.00	12.4	0
65.71	0.16	9.7	0.5
66.63	0.38	10.3	1.2
68.23	0.00	11.8	0
69.63	0.00	12.1	0
71.65	0.00	14.1	0
74.49	0.00	16.5	0
77.59	0.00	12.5	0
77.8	0.62	11.4	2.3
70.4	2.52	10.8	8.1
69.68	0.69	11.4	2.2
70.4	0.22	11.7	0.7
73.9	0.00	14.1	0
74.5	0.54	14.3	1.8
72.65	1.09	12.6	3.5
76.02	0.06	11.9	0.2
76.74	0.18	11.3	0.6
74.2	1.54	16.1	4.9
72.1	1.10	16	3.4
73.31	0.06	12.4	0.2
76.19	0.00	15.7	0
79.47	0.00	17.5	0
81.41	0.00	14.2	0
82.73	0.00	13.7	0
84.38	0.00	15.3	0
84.64	0.00	12.7	0
85.04	0.17	16.2	0.7
83.89	0.52	16	2.1
85.86	0.00	15.5	0
86.55	0.26	14.7	1.1
87.99	0.00	15.6	0
89.03	0.00	16.2	0
89.3	0.15	13.1	0.7
88.1	0.44	15.1	2
88.72	0.02	16	0.1
89.72	0.06	16.9	0.3
91.06	0.00	15.5	0
92.3	0.15	13.7	0.8
93.83	0.00	14.5	0
95.11	0.00	14.2	0
96.41	0.00	13.4	0
97.82	0.00	13	0
99.48	0.00	14.7	0
101.04	0.03	17.8	0.2
98.32	0.67	15.1	3.9
100.46	0.00	13.3	0
102.26	0.00	15.3	0
102.43	0.21	14.9	1.3
102.53	0.35	16.9	2.1
102.95	0.08	16.6	0.5
103.88	0.00	15.1	0
104.7	0.00	14.5	0
105.62	0.00	14.4	0
99.34	1.87	16.5	9.4
88.06	3.38	19.8	12.7
90.18	0.05	18.1	0.2
91.98	0.05	17.1	0.2
89.73	0.87	15.9	3.4
90.36	0.43	19.1	1.7
92.14	0.00	15.7	0
93.37	0.00	14.3	0
94	0.00	13.5	0
95.44	0.00	15.7	0
95.86	0.15	13.1	0.7
97.11	0.04	12	0.2
98.52	0.00	12.7	0
99.41	0.02	12.4	0.1
100.48	0.00	9.7	0
102.02	0.00	10.4	0
103.22	0.00	13.2	0
101.39	0.41	9.9	2.2
102.6	0.07	13.5	0.4
100.1	0.88	11.2	4.3
101.92	0.10	13.5	0.5
102.63	0.33	13.2	1.6
103.52	0.00	13.3	0
81.27	8.36	11.7	24.5
79.53	1.01	14.1	2.9
71.01	3.74	12.9	9.5
69.13	1.24	13.2	3.1
67.82	1.47	13.3	3.6
69.09	0.28	10.5	0.7
67.37	1.22	10.7	3
68.87	0.16	12.7	0.4
69.74	0.00	12.4	0
69.98	0.00	9.7	0
70.99	0.00	13.3	0
72.82	0.00	11.5	0
69.1	1.93	11.3	5.2
69.68	0.11	12.4	0.3
70.16	0.54	11.5	1.5
66.14	1.90	9.8	5
66.46	0.22	10.2	0.6
66.73	0.11	11.3	0.3
65.18	0.92	7.7	2.5
64.22	0.78	9.1	2.1
63.76	0.71	11.8	1.9
57.95	2.61	10.7	6.5
58.4	0.12	10.8	0.3
58.75	0.12	8.5	0.3
53.04	2.64	9.8	6.4
54.73	0.04	9.1	0.1
55.99	0.00	9.9	0
56.19	0.19	8.9	0.5
48.34	3.43	9.9	8.1
45.69	1.24	10.5	2.9
46.99	0.00	13.1	0
47.68	0.00	11.7	0
48.59	0.00	12.7	0
48.01	0.31	8.5	0.8
48.83	0.00	9.8	0
50.01	0.00	10.7	0
